Date : 2024-01-01 17:03:22
Directory : c:\Users\49440\Desktop\Time-Tracker
Total : 99 files,  4374 codes, 587 comments, 759 blanks, all 5720 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| lib\common\model                                                                                          |          4 |        101 |          2 |         22 |        125 |
| lib\common\routes                                                                                         |          1 |         20 |          0 |          3 |         23 |
| lib\common\utils                                                                                          |          1 |         66 |          1 |          2 |         69 |
| lib\page                                                                                                  |         30 |      2,001 |        168 |        290 |      2,459 |
| lib\page\activity                                                                                         |          4 |        210 |         13 |         23 |        246 |
| lib\page\activity (Files)                                                                                 |          1 |         53 |          3 |          6 |         62 |
| lib\page\activity\widget                                                                                  |          3 |        157 |         10 |         17 |        184 |
| lib\page\category_manage                                                                                  |          3 |        211 |         12 |         27 |        250 |
| lib\page\category_manage (Files)                                                                          |          2 |        115 |          4 |         10 |        129 |
| lib\page\category_manage\widget                                                                           |          1 |         96 |          8 |         17 |        121 |
| lib\page\group                                                                                            |          2 |         76 |          4 |          6 |         86 |
| lib\page\home                                                                                             |          1 |         14 |          3 |          5 |         22 |
| lib\page\login_register                                                                                   |          7 |        524 |         37 |         51 |        612 |
| lib\page\login_register (Files)                                                                           |          3 |        101 |         27 |         29 |        157 |
| lib\page\login_register\widgets                                                                           |          4 |        423 |         10 |         22 |        455 |
| lib\page\setting                                                                                          |          3 |        149 |          5 |         20 |        174 |
| lib\page\setting (Files)                                                                                  |          1 |         78 |          3 |          7 |         88 |
| lib\page\setting\widget                                                                                   |          2 |         71 |          2 |         13 |         86 |
| lib\page\statistic                                                                                        |          4 |        198 |          8 |         22 |        228 |
| lib\page\statistic (Files)                                                                                |          1 |         28 |          0 |          4 |         32 |
| lib\page\statistic\widget                                                                                 |          3 |        170 |          8 |         18 |        196 |
| lib\page\timegrid                                                                                         |          6 |        619 |         86 |        136 |        841 |
| lib\page\timegrid (Files)                                                                                 |          1 |         49 |          5 |          8 |         62 |
| lib\page\timegrid\widget                                                                                  |          5 |        570 |         81 |        128 |        779 |
| lib\page\timegrid\widget\category_event_line                                                              |          2 |        135 |          9 |         23 |        167 |
| lib\page\timegrid\widget\time_line                                                                        |          1 |         21 |          1 |          5 |         27 |
| lib\page\timegrid\widget\timegrid                                                                         |          2 |        414 |         71 |        100 |        585 |
| lib\widget                                                                                                |          2 |        195 |         14 |         28 |        237 |
| lib\widget\framwork                                                                                       |          2 |        195 |         14 |         28 |        237 |
| linux                                                                                                     |          8 |        255 |         81 |         81 |        417 |
| linux (Files)                                                                                             |          4 |        161 |         56 |         54 |        271 |
| linux\flutter                                                                                             |          4 |         94 |         25 |         27 |        146 |
| macos                                                                                                     |          6 |        446 |          5 |         16 |        467 |
| macos\Flutter                                                                                             |          1 |          8 |          3 |          4 |         15 |
| macos\Runner                                                                                              |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                      |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                         |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                           |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                   |          1 |        343 |          0 |          1 |        344 |
| web                                                                                                       |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                   |         14 |        620 |        148 |        187 |        955 |
| windows (Files)                                                                                           |          1 |         59 |         25 |         19 |        103 |
| windows\flutter                                                                                           |          4 |        111 |         26 |         29 |        166 |
| windows\runner                                                                                            |          9 |        450 |         97 |        139 |        686 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                  | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\49440\Desktop\Time-Tracker\README.md                                                             | Markdown        |         10 |          0 |          7 |         17 |
| c:\Users\49440\Desktop\Time-Tracker\analysis_options.yaml                                                 | YAML            |          3 |         22 |          4 |         29 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\build.gradle                                              | Groovy          |         51 |          5 |         12 |         68 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\src\debug\AndroidManifest.xml                             | XML             |          3 |          4 |          1 |          8 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\AndroidManifest.xml                              | XML             |         27 |          6 |          1 |         34 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\drawable-v21\launch_background.xml           | XML             |          4 |          7 |          2 |         13 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\drawable\launch_background.xml               | XML             |          4 |          7 |          2 |         13 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\values-night\styles.xml                      | XML             |          9 |          9 |          1 |         19 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\src\main\res\values\styles.xml                            | XML             |          9 |          9 |          1 |         19 |
| c:\Users\49440\Desktop\Time-Tracker\android\app\src\profile\AndroidManifest.xml                           | XML             |          3 |          4 |          1 |          8 |
| c:\Users\49440\Desktop\Time-Tracker\android\build.gradle                                                  | Groovy          |         27 |          0 |          5 |         32 |
| c:\Users\49440\Desktop\Time-Tracker\android\gradle.properties                                             | Java Properties |          3 |          0 |          1 |          4 |
| c:\Users\49440\Desktop\Time-Tracker\android\gradle\wrapper\gradle-wrapper.properties                      | Java Properties |          5 |          0 |          1 |          6 |
| c:\Users\49440\Desktop\Time-Tracker\android\settings.gradle                                               | Groovy          |         16 |          0 |          5 |         21 |
| c:\Users\49440\Desktop\Time-Tracker\devtools_options.yaml                                                 | YAML            |          1 |          0 |          1 |          2 |
| c:\Users\49440\Desktop\Time-Tracker\ios\RunnerTests\RunnerTests.swift                                     | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\49440\Desktop\Time-Tracker\ios\Runner\AppDelegate.swift                                          | Swift           |         12 |          0 |          2 |         14 |
| c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json           | JSON            |        122 |          0 |          1 |        123 |
| c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json         | JSON            |         23 |          0 |          1 |         24 |
| c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md             | Markdown        |          3 |          0 |          2 |          5 |
| c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Base.lproj\LaunchScreen.storyboard                         | XML             |         36 |          1 |          1 |         38 |
| c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Base.lproj\Main.storyboard                                 | XML             |         25 |          1 |          1 |         27 |
| c:\Users\49440\Desktop\Time-Tracker\ios\Runner\Runner-Bridging-Header.h                                   | C++             |          1 |          0 |          1 |          2 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\category_dao.dart                                      | Dart            |         19 |          1 |          7 |         27 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\event_dao.dart                                         | Dart            |          0 |          0 |          1 |          1 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\record_dao.dart                                        | Dart            |         20 |          1 |          6 |         27 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\tag_dao.dart                                           | Dart            |          0 |          0 |          1 |          1 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\user_dao.dart                                          | Dart            |         36 |          1 |          8 |         45 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\model\category.dart                                        | Dart            |         28 |          1 |          6 |         35 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\model\event.dart                                           | Dart            |         20 |          1 |          5 |         26 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\model\record.dart                                          | Dart            |         20 |          0 |          4 |         24 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\model\user.dart                                            | Dart            |         33 |          0 |          7 |         40 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\routes\app_pages.dart                                      | Dart            |         20 |          0 |          3 |         23 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\user_manager.dart                                          | Dart            |         57 |          9 |         15 |         81 |
| c:\Users\49440\Desktop\Time-Tracker\lib\common\utils\data.dart                                            | Dart            |         66 |          1 |          2 |         69 |
| c:\Users\49440\Desktop\Time-Tracker\lib\main.dart                                                         | Dart            |         36 |          3 |          9 |         48 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\activity_page.dart                                  | Dart            |         53 |          3 |          6 |         62 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\activiting_widget.dart                       | Dart            |         79 |          3 |          7 |         89 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\event_button.dart                            | Dart            |         52 |          6 |          6 |         64 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\activity\widget\section.dart                                 | Dart            |         26 |          1 |          4 |         31 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\add_category.dart                            | Dart            |         87 |          2 |          7 |         96 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\category_event_manage_page.dart              | Dart            |         28 |          2 |          3 |         33 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\category_manage\widget\category_event_list.dart              | Dart            |         96 |          8 |         17 |        121 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\group\group_page.dart                                        | Dart            |         54 |          4 |          3 |         61 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\group\user_item.dart                                         | Dart            |         22 |          0 |          3 |         25 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\home\view.dart                                               | Dart            |         14 |          3 |          5 |         22 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\controller.dart                               | Dart            |         68 |         23 |         24 |        115 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\enum.dart                                     | Dart            |          1 |          0 |          1 |          2 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\view.dart                                     | Dart            |         32 |          4 |          4 |         40 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\body.dart                             | Dart            |         82 |          7 |          5 |         94 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\login_form.dart                       | Dart            |        148 |          2 |          7 |        157 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\menu.dart                             | Dart            |         78 |          0 |          5 |         83 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\register_form.dart                    | Dart            |        115 |          1 |          5 |        121 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\setting\setting_page.dart                                    | Dart            |         78 |          3 |          7 |         88 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\setting\widget\setting_button.dart                           | Dart            |         42 |          0 |          6 |         48 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\setting\widget\setting_section.dart                          | Dart            |         29 |          2 |          7 |         38 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\statistic\statistic.dart                                     | Dart            |         28 |          0 |          4 |         32 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\statistic\widget\line_chart.dart                             | Dart            |         56 |          6 |          7 |         69 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\statistic\widget\list_chart.dart                             | Dart            |         53 |          1 |          6 |         60 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\statistic\widget\pie_chart.dart                              | Dart            |         61 |          1 |          5 |         67 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\time_grid_page.dart                                 | Dart            |         49 |          5 |          8 |         62 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\category_event_line\category_button.dart     | Dart            |         97 |          5 |         14 |        116 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\category_event_line\category_event_line.dart | Dart            |         38 |          4 |          9 |         51 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\time_line\time_line.dart                     | Dart            |         21 |          1 |          5 |         27 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\timegrid\timegrid.dart                       | Dart            |        241 |         19 |         48 |        308 |
| c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\timegrid\timgrid_controller.dart             | Dart            |        173 |         52 |         52 |        277 |
| c:\Users\49440\Desktop\Time-Tracker\lib\widget\framwork\pc_ui_frame.dart                                  | Dart            |        147 |          9 |         15 |        171 |
| c:\Users\49440\Desktop\Time-Tracker\lib\widget\framwork\pc_ui_frame_controller.dart                       | Dart            |         48 |          5 |         13 |         66 |
| c:\Users\49440\Desktop\Time-Tracker\linux\CMakeLists.txt                                                  | CMake           |         75 |         38 |         27 |        140 |
| c:\Users\49440\Desktop\Time-Tracker\linux\flutter\CMakeLists.txt                                          | CMake           |         66 |         13 |         10 |         89 |
| c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugin_registrant.cc                          | C++             |          7 |          4 |          5 |         16 |
| c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugin_registrant.h                           | C++             |          5 |          5 |          6 |         16 |
| c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugins.cmake                                 | CMake           |         16 |          3 |          6 |         25 |
| c:\Users\49440\Desktop\Time-Tracker\linux\main.cc                                                         | C++             |          5 |          0 |          2 |          7 |
| c:\Users\49440\Desktop\Time-Tracker\linux\my_application.cc                                               | C++             |         74 |         11 |         20 |        105 |
| c:\Users\49440\Desktop\Time-Tracker\linux\my_application.h                                                | C++             |          7 |          7 |          5 |         19 |
| c:\Users\49440\Desktop\Time-Tracker\macos\Flutter\GeneratedPluginRegistrant.swift                         | Swift           |          8 |          3 |          4 |         15 |
| c:\Users\49440\Desktop\Time-Tracker\macos\RunnerTests\RunnerTests.swift                                   | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\49440\Desktop\Time-Tracker\macos\Runner\AppDelegate.swift                                        | Swift           |          8 |          0 |          2 |         10 |
| c:\Users\49440\Desktop\Time-Tracker\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json         | JSON            |         68 |          0 |          1 |         69 |
| c:\Users\49440\Desktop\Time-Tracker\macos\Runner\Base.lproj\MainMenu.xib                                  | XML             |        343 |          0 |          1 |        344 |
| c:\Users\49440\Desktop\Time-Tracker\macos\Runner\MainFlutterWindow.swift                                  | Swift           |         12 |          0 |          4 |         16 |
| c:\Users\49440\Desktop\Time-Tracker\pubspec.yaml                                                          | YAML            |         25 |         60 |         18 |        103 |
| c:\Users\49440\Desktop\Time-Tracker\web\index.html                                                        | HTML            |         38 |         16 |          6 |         60 |
| c:\Users\49440\Desktop\Time-Tracker\web\manifest.json                                                     | JSON            |         35 |          0 |          1 |         36 |
| c:\Users\49440\Desktop\Time-Tracker\windows\CMakeLists.txt                                                | CMake           |         59 |         25 |         19 |        103 |
| c:\Users\49440\Desktop\Time-Tracker\windows\flutter\CMakeLists.txt                                        | CMake           |         84 |         14 |         12 |        110 |
| c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugin_registrant.cc                        | C++             |          6 |          4 |          5 |         15 |
| c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugin_registrant.h                         | C++             |          5 |          5 |          6 |         16 |
| c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugins.cmake                               | CMake           |         16 |          3 |          6 |         25 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\CMakeLists.txt                                         | CMake           |         22 |         12 |          7 |         41 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\flutter_window.cpp                                     | C++             |         49 |          7 |         16 |         72 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\flutter_window.h                                       | C++             |         20 |          5 |          9 |         34 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\main.cpp                                               | C++             |         30 |          4 |         10 |         44 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\resource.h                                             | C++             |          9 |          6 |          2 |         17 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\utils.cpp                                              | C++             |         54 |          2 |         10 |         66 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\utils.h                                                | C++             |          8 |          6 |          6 |         20 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\win32_window.cpp                                       | C++             |        210 |         24 |         55 |        289 |
| c:\Users\49440\Desktop\Time-Tracker\windows\runner\win32_window.h                                         | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                     |                 |      4,374 |        587 |        759 |      5,720 |
+-----------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
